identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,description_clean,prediction,true_num,pred_num,error
NWS-IDP-PROD-4262077,2020-06-08T00:43:00.000Z,Actual,Alert,NWS Lake Charles LA,Tropical Cyclone Statement,['Monitor'],Expected,Moderate,Likely,Tropical Cyclone Statement issued June 7 at 7:43PM CDT by NWS Lake Charles LA,"This product covers SOUTHWEST LOUISIANA AND SOUTHEAST TEXAS

**Tropical Storm Warnings have been cancelled for SOUTH-CENTRAL
LOUISIANA INCLUDING THE ADJACENT COASTAL WATERS**

NEW INFORMATION
---------------

* CHANGES TO WATCHES AND WARNINGS:
- The Tropical Storm Warning has been cancelled for Iberia, Lower
St. Martin, St. Mary, Upper St. Martin, and Vermilion

* CURRENT WATCHES AND WARNINGS:
- None

* STORM INFORMATION:
- About 210 miles east of Cameron LA or about 80 miles east of
Morgan City LA
- 29.6N 89.8W
- Storm Intensity 50 mph
- Movement North or 355 degrees at 7 mph

SITUATION OVERVIEW
------------------
At 700 PM CDT, the center of Tropical Storm Cristobal was located near
latitude 29.6 North, longitude 89.8 West. Cristobal is moving toward
the north near 7 mph. A turn toward the north-northwest is expected
later this evening and tonight, followed by a northward motion Monday
night and Tuesday.

Gusty winds will continue over the eastern coastal waters this evening
as Tropical Storm Cristobal continues to move inland along the southeast
Louisiana coast. With the storm forecast to remain east of the area, a
predominately offshore flow will prevail tonight. A moderate onshore
flow will develop over the coastal waters on Monday.

There is the potential for heavy rainfall that may lead to flash flooding
over portions of southwest, south central and central Louisiana on Monday
with potential rainbands around Cristobal.

Coastal flooding from storm surge of 1 to 3 feet above the ground will
also be possible by tonight into early Monday, mainly around the
Vermilion and Atchafalaya Bays when onshore flow returns.

There is a low end potential for a few isolated tornadoes mainly on
Monday afternoon and evening with some of the rainbands around
Cristobal.

POTENTIAL IMPACTS
-----------------

* WIND:
Prepare for hazardous wind having possible limited impacts across
SOUTH CENTRAL LOUISIANA. Potential impacts in this area include:
- Damage to porches, awnings, carports, sheds, and unanchored
mobile homes. Unsecured lightweight objects blown about.
- Many large tree limbs broken off. A few trees snapped or
uprooted, but with greater numbers in places where trees are
shallow rooted. Some fences and roadway signs blown over.
- A few roads impassable from debris, particularly within urban
or heavily wooded places. Hazardous driving conditions on
bridges and other elevated roadways.
- Scattered power and communications outages.

Elsewhere across SOUTHWEST LOUISIANA AND SOUTHEAST TEXAS, little to
no impact is anticipated.

* SURGE:
Prepare for locally hazardous surge having possible limited impacts
across COASTAL SOUTH CENTRAL LOUISIANA. Potential impacts in this area
include:
- Localized inundation with storm surge flooding mainly along
immediate shorelines and in low-lying spots, or in areas
farther inland along rivers and bayous that drain into the Gulf.
- Sections of roads and parking lots near bodies of water may
become overspread with surge water. Driving conditions
dangerous in places where surge water covers the road.
- Moderate beach erosion. Heavy surf also breaching dunes, mainly
in usually vulnerable locations. Strong rip currents.
- Minor to locally moderate damage to marinas, docks, and piers.
A few small craft broken away from moorings.

Elsewhere across SOUTHWEST LOUISIANA AND SOUTHEAST TEXAS, little to
no impact is anticipated.

* FLOODING RAIN:
Prepare for dangerous rainfall flooding having possible significant
impacts across CENTRAL AND SOUTH CENTRAL LOUISIANA. Potential impacts
include:
- Moderate rainfall flooding may prompt several evacuations and
rescues.
- Rivers and tributaries may quickly become swollen with swifter
currents and overspill their banks in a few places, especially
in usually vulnerable spots. Small streams, creeks, canals, and
ditches overflow.
- Flood waters can enter some structures or weaken foundations.
Several places may experience expanded areas of rapid
inundation at underpasses, low-lying spots, and poor drainage
areas. Some streets and parking lots take on moving water as
storm drains and retention ponds overflow. Driving conditions
become hazardous. Some road and bridge closures.

Prepare for locally hazardous rainfall flooding having possible
limited impacts across SOUTHWEST LOUISIANA.

* TORNADOES:
Prepare for a tornado event having possible limited impacts across
SOUTH CENTRAL, AND SOUTHWEST LOUISIANA AND SOUTHEAST TEXAS. Potential
impacts include:
- The occurrence of isolated tornadoes can hinder the execution
of emergency plans during tropical events.
- A few places may experience tornado damage, along with power
and communications disruptions.
- Locations could realize roofs peeled off buildings, chimneys
toppled, mobile homes pushed off foundations or overturned,
large tree tops and branches snapped off, shallow-rooted trees
knocked over, moving vehicles blown off roads, and small boats
pulled from moorings.","* OTHER PREPAREDNESS INFORMATION:

Closely monitor weather.gov, NOAA Weather Radio and local news
outlets for official storm information. Be ready to adapt to possible
changes to the forecast. Ensure you have multiple ways to receive weather
warnings.

There is a threat from tornadoes with this storm. Have multiple ways
to receive Tornado Warnings. Be ready to shelter quickly.

* ADDITIONAL SOURCES OF INFORMATION:
- For information on appropriate preparations see ready.gov
- For information on creating an emergency plan see getagameplan.org
- For additional disaster preparedness information see redcross.org",St. Mary; Iberia; Lower St. Martin; Upper St. Martin; Vermilion,2020-06-08,00:43:00,"this product covers southwest louisiana and southeast texas **tropical storm warnings have been cancelled for south-central louisiana including the adjacent coastal waters** new information --------------- * changes to watches and warnings: - the tropical storm warning has been cancelled for iberia, lower st. martin, st. mary, upper st. martin, and vermilion * current watches and warnings: - none * storm information: - about 210 miles east of cameron la or about 80 miles east of morgan city la - 29.6n 89.8w - storm intensity 50 mph - movement north or 355 degrees at 7 mph situation overview ------------------ at 700 pm cdt, the center of tropical storm cristobal was located near latitude 29.6 north, longitude 89.8 west. cristobal is moving toward the north near 7 mph. a turn toward the north-northwest is expected later this evening and tonight, followed by a northward motion monday night and tuesday. gusty winds will continue over the eastern coastal waters this evening as tropical storm cristobal continues to move inland along the southeast louisiana coast. with the storm forecast to remain east of the area, a predominately offshore flow will prevail tonight. a moderate onshore flow will develop over the coastal waters on monday. there is the potential for heavy rainfall that may lead to flash flooding over portions of southwest, south central and central louisiana on monday with potential rainbands around cristobal. coastal flooding from storm surge of 1 to 3 feet above the ground will also be possible by tonight into early monday, mainly around the vermilion and atchafalaya bays when onshore flow returns. there is a low end potential for a few isolated tornadoes mainly on monday afternoon and evening with some of the rainbands around cristobal. potential impacts ----------------- * wind: prepare for hazardous wind having possible limited impacts across south central louisiana. potential impacts in this area include: - damage to porches, awnings, carports, sheds, and unanchored mobile homes. unsecured lightweight objects blown about. - many large tree limbs broken off. a few trees snapped or uprooted, but with greater numbers in places where trees are shallow rooted. some fences and roadway signs blown over. - a few roads impassable from debris, particularly within urban or heavily wooded places. hazardous driving conditions on bridges and other elevated roadways. - scattered power and communications outages. elsewhere across southwest louisiana and southeast texas, little to no impact is anticipated. * surge: prepare for locally hazardous surge having possible limited impacts across coastal south central louisiana. potential impacts in this area include: - localized inundation with storm surge flooding mainly along immediate shorelines and in low-lying spots, or in areas farther inland along rivers and bayous that drain into the gulf. - sections of roads and parking lots near bodies of water may become overspread with surge water. driving conditions dangerous in places where surge water covers the road. - moderate beach erosion. heavy surf also breaching dunes, mainly in usually vulnerable locations. strong rip currents. - minor to locally moderate damage to marinas, docks, and piers. a few small craft broken away from moorings. elsewhere across southwest louisiana and southeast texas, little to no impact is anticipated. * flooding rain: prepare for dangerous rainfall flooding having possible significant impacts across central and south central louisiana. potential impacts include: - moderate rainfall flooding may prompt several evacuations and rescues. - rivers and tributaries may quickly become swollen with swifter currents and overspill their banks in a few places, especially in usually vulnerable spots. small streams, creeks, canals, and ditches overflow. - flood waters can enter some structures or weaken foundations. several places may experience expanded areas of rapid inundation at underpasses, low-lying spots, and poor drainage areas. some streets and parking lots take on moving water as storm drains and retention ponds overflow. driving conditions become hazardous. some road and bridge closures. prepare for locally hazardous rainfall flooding having possible limited impacts across southwest louisiana. * tornadoes: prepare for a tornado event having possible limited impacts across south central, and southwest louisiana and southeast texas. potential impacts include: - the occurrence of isolated tornadoes can hinder the execution of emergency plans during tropical events. - a few places may experience tornado damage, along with power and communications disruptions. - locations could realize roofs peeled off buildings, chimneys toppled, mobile homes pushed off foundations or overturned, large tree tops and branches snapped off, shallow-rooted trees knocked over, moving vehicles blown off roads, and small boats pulled from moorings.",Severe,2,3,1
NWS-130404-688571,2013-12-31T09:33:10.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 31 at 3:33AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
TUE DEC 31  VERY HIGH  21  *        L    L    M    H    H    M    L  
WED JAN 01  HIGH        8  *   L    L    L    M    M    H    L    L  
THU JAN 02  LOW         1  *   L    L    L    L    L    L    L    L  
FRI JAN 03  HIGH       13  *   L    L    L    M    H    H    H    M  
SAT JAN 04  HIGH        8  *   M    L    L    L    M    M    M    L  
SUN JAN 05  LOW         1  *   L    L    L    L    L    L    L    L",,Ellsworth,2013-12-31,09:33:10,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm tue dec 31 very high 21 * l l m h h m l wed jan 01 high 8 * l l l m m h l l thu jan 02 low 1 * l l l l l l l l fri jan 03 high 13 * l l l m h h h m sat jan 04 high 8 * m l l l m m m l sun jan 05 low 1 * l l l l l l l l,Severe,2,3,1
urn:oid:2.49.0.1.840.0.30c8982a6c2afad8dc9aaab7fce021e215dfc290.003.2,2022-12-22T09:45:00.000Z,Actual,Update,NWS Omaha/Valley NE,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued December 22 at 3:45AM CST until December 22 at 6:00PM CST by NWS Omaha/Valley NE,"* WHAT...For the Wind Chill Warning, dangerously cold wind
chills. Wind chills as low as 45 below zero. For the Winter
Weather Advisory, blowing snow. Winds gusting as high as 45
mph.

* WHERE...Portions of northeast Nebraska.

* WHEN...For the Wind Chill Warning, until noon CST Saturday.
For the Winter Weather Advisory, until 6 PM CST this evening.

* IMPACTS...Patchy blowing snow could significantly reduce
visibility. The hazardous conditions could impact the morning
or evening commute. Gusty winds could bring down tree
branches. The dangerously cold wind chills could cause
frostbite on exposed skin in as little as 10 minutes.
","Avoid outside activities if possible. When outside, make sure you
wear appropriate clothing, a hat, and gloves.

Use caution while traveling, especially in open areas.

The latest road conditions for the state you are calling from can
be obtained by calling 5 1 1.",,2022-12-22,09:45:00,"* what...for the wind chill warning, dangerously cold wind chills. wind chills as low as 45 below zero. for the winter weather advisory, blowing snow. winds gusting as high as 45 mph. * where...portions of northeast nebraska. * when...for the wind chill warning, until noon cst saturday. for the winter weather advisory, until 6 pm cst this evening. * impacts...patchy blowing snow could significantly reduce visibility. the hazardous conditions could impact the morning or evening commute. gusty winds could bring down tree branches. the dangerously cold wind chills could cause frostbite on exposed skin in as little as 10 minutes.",Severe,2,3,1
NWS-IDP-PROD-4253563-3585141,2020-06-04T21:02:00.000Z,Actual,Update,NWS Quad Cities IA IL,Flood Warning,['Avoid'],Immediate,Severe,Observed,Flood Warning issued June 4 at 4:02PM CDT until June 10 at 1:00PM CDT by NWS Quad Cities IA IL,"Updated afternoon flood information for area rivers.

River forecasts include past precipitation and forecast rainfall for
the next 24 hours.

The Flood Warning continues for
The Mississippi River at Gladstone LD18.
* Until Tuesday evening.
* At  2:00 PM Thursday the stage was 10.3 feet and rising.
* Flood stage is 10.0 feet.
* Minor flooding is occurring.
* Forecast, Rise to 10.7 feet Saturday morning. Fall below flood
stage Tuesday evening.","If you encounter a flooded roadway, turn around and find an
alternate route. Turn around, don't drown.","Des Moines, IA; Henderson, IL",2020-06-04,21:02:00,"updated afternoon flood information for area rivers. river forecasts include past precipitation and forecast rainfall for the next 24 hours. the flood warning continues for the mississippi river at gladstone ld18. * until tuesday evening. * at 2:00 pm thursday the stage was 10.3 feet and rising. * flood stage is 10.0 feet. * minor flooding is occurring. * forecast, rise to 10.7 feet saturday morning. fall below flood stage tuesday evening.",Severe,3,3,0
NWS-IDP-PROD-4254581-3585864,2020-06-05T02:14:00.000Z,Actual,Update,NWS Nashville TN,Tornado Warning,['Shelter'],Immediate,Extreme,Observed,Tornado Warning issued June 4 at 9:14PM CDT until June 4 at 9:30PM CDT by NWS Nashville TN,"At 913 PM CDT, a severe thunderstorm capable of producing a tornado
was located near Centerville, moving east at 30 mph.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed. Damage
to roofs, windows, and vehicles will occur.  Tree damage is
likely.

Locations impacted include...
Centerville and Primm Springs.","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.","Hickman, TN; Maury, TN",2020-06-05,02:14:00,"at 913 pm cdt, a severe thunderstorm capable of producing a tornado was located near centerville, moving east at 30 mph. hazard...tornado. source...radar indicated rotation. impact...flying debris will be dangerous to those caught without shelter. mobile homes will be damaged or destroyed. damage to roofs, windows, and vehicles will occur. tree damage is likely. locations impacted include... centerville and primm springs.",Severe,4,3,-1
NWS-130404-682931,2013-12-27T05:45:31.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 26 at 11:45PM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
THU DEC 26  LOW         1  *                                         
FRI DEC 27  HIGH        8  *   L    L    L    L    M    H    M    L  
SAT DEC 28  HIGH       16  *   L    L    L    M    H    H    L    M  
SUN DEC 29  HIGH        9  *   M    H    H    M    M    M    L    L  
MON DEC 30  LOW         2  *   L    L    L    L    L    L    L    L  
TUE DEC 31  LOW         2  *   L    L    L    L    L    L    L    L",,Russell,2013-12-27,05:45:31,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm thu dec 26 low 1 * fri dec 27 high 8 * l l l l m h m l sat dec 28 high 16 * l l l m h h l m sun dec 29 high 9 * m h h m m m l l mon dec 30 low 2 * l l l l l l l l tue dec 31 low 2 * l l l l l l l l,Severe,2,3,1
NWS-IDP-PROD-4260868-3590076,2020-06-07T14:07:00.000Z,Actual,Alert,NWS Mobile AL,Tornado Watch,['Monitor'],Future,Extreme,Possible,Tornado Watch issued June 7 at 9:07AM CDT until June 7 at 5:00PM CDT by NWS Mobile AL,"THE NATIONAL WEATHER SERVICE HAS ISSUED TORNADO WATCH 266 IN
EFFECT UNTIL 5 PM CDT THIS AFTERNOON FOR THE FOLLOWING AREAS

IN ALABAMA THIS WATCH INCLUDES 2 COUNTIES

IN SOUTHWEST ALABAMA

BALDWIN               MOBILE

IN MISSISSIPPI THIS WATCH INCLUDES 2 COUNTIES

IN SOUTHEAST MISSISSIPPI

GEORGE                STONE

THIS INCLUDES THE CITIES OF BAY MINETTE, DAPHNE, GULF SHORES,
LUCEDALE, MOBILE, PRICHARD, SARALAND, TILLMANS CORNER,
AND WIGGINS.",,"Stone, MS; Mobile, AL; George, MS; Baldwin, AL",2020-06-07,14:07:00,"the national weather service has issued tornado watch 266 in effect until 5 pm cdt this afternoon for the following areas in alabama this watch includes 2 counties in southwest alabama baldwin mobile in mississippi this watch includes 2 counties in southeast mississippi george stone this includes the cities of bay minette, daphne, gulf shores, lucedale, mobile, prichard, saraland, tillmans corner, and wiggins.",Severe,4,3,-1
NWS-IDP-PROD-4257898,2020-06-06T13:54:00.000Z,Actual,Alert,NWS Key West FL,Marine Weather Statement,['Monitor'],Expected,Minor,Observed,Marine Weather Statement issued June 6 at 9:54AM EDT by NWS Key West FL,"The areas affected include...
Straits of Florida from Halfmoon Shoal to 20 nm west of Dry Tortugas
out 60 nm...

At 953 AM EDT, National Weather Service meteorologists detected a
thunderstorm, capable of producing wind gusts near 35 knots. This
thunderstorm was located 48 nm south of Tortugas Ecological Reserve
South, moving north at 30 knots.

Through 1100 AM, prepare for thunderstorms with wind gusts near 35
knots...locally rough and confused seas...occasional lightning
strikes...and potentially blinding downpours.",,Straits of Florida from Halfmoon Shoal to 20 NM west of Dry Tortugas out 20 NM; Straits of Florida from Halfmoon Shoal to 20 NM west of Dry Tortugas 20 to 60 NM out,2020-06-06,13:54:00,"the areas affected include... straits of florida from halfmoon shoal to 20 nm west of dry tortugas out 60 nm... at 953 am edt, national weather service meteorologists detected a thunderstorm, capable of producing wind gusts near 35 knots. this thunderstorm was located 48 nm south of tortugas ecological reserve south, moving north at 30 knots. through 1100 am, prepare for thunderstorms with wind gusts near 35 knots...locally rough and confused seas...occasional lightning strikes...and potentially blinding downpours.",Severe,1,3,2
NWS-IDP-PROD-4263051-3591766,2020-06-08T09:52:00.000Z,Actual,Alert,NWS Albuquerque NM,Wind Advisory,['Execute'],Expected,Moderate,Likely,Wind Advisory issued June 8 at 3:52AM MDT until June 8 at 9:00PM MDT by NWS Albuquerque NM,"* WHAT...West winds 25 to 35 mph with gusts up to 50 mph
expected.

* WHERE...Chuska Mountains, West Central Plateau and West
Central Mountains.

* WHEN...From noon today to 9 PM MDT this evening.

* IMPACTS...Gusty winds could blow around unsecured objects. A
few power outages are possible.","Use extra caution when driving, especially if operating a high
profile vehicle. Secure outdoor objects.",Chuska Mountains; West Central Mountains; West Central Plateau,2020-06-08,09:52:00,"* what...west winds 25 to 35 mph with gusts up to 50 mph expected. * where...chuska mountains, west central plateau and west central mountains. * when...from noon today to 9 pm mdt this evening. * impacts...gusty winds could blow around unsecured objects. a few power outages are possible.",Severe,2,3,1
NWS-IDP-PROD-4257176,2020-06-06T02:33:00.000Z,Actual,Alert,NWS Denver CO,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued June 5 at 8:33PM MDT by NWS Denver CO,"At 833 PM MDT, Doppler radar was tracking a strong thunderstorm 14
miles east of Panorama Point, or 19 miles south of Kimball, moving
northeast at 35 mph.

Half inch hail and wind gusts of 50 to 55 mph will be possible with
this storm.

This storm will remain over mainly rural areas of northeastern Weld
and northwestern Logan Counties.","Prepare for sudden gusty winds. Secure loose objects and move to a
safe shelter inside a building or vehicle.",Northeast Weld County; Logan County,2020-06-06,02:33:00,"at 833 pm mdt, doppler radar was tracking a strong thunderstorm 14 miles east of panorama point, or 19 miles south of kimball, moving northeast at 35 mph. half inch hail and wind gusts of 50 to 55 mph will be possible with this storm. this storm will remain over mainly rural areas of northeastern weld and northwestern logan counties.",Severe,2,3,1
NWS-IDP-PROD-4261319,2020-06-07T18:51:00.000Z,Actual,Alert,NWS Miami FL,Marine Weather Statement,['Monitor'],Expected,Minor,Observed,Marine Weather Statement issued June 7 at 2:51PM EDT by NWS Miami FL,"The areas affected include...
Waters from Jupiter Inlet to Deerfield Beach FL from 20 to 60
NM...

At 250 PM EDT, Doppler radar indicated showers, capable of producing
winds to around 30 knots. These showers were located along a line
extending from 39 nm east of Palm Beach Shores to 43 nm east of Ocean
Ridge, moving north at 15 knots.","Mariners can expect gusty winds to around 30 knots, locally higher
waves, and lightning strikes. Boaters should seek safe harbor
immediately until these storms pass.

Waterspouts are possible with this activity. Remain on the alert in
case warnings are issued for waterspout development.",Waters from Jupiter Inlet to Deerfield Beach FL from 20 to 60 NM,2020-06-07,18:51:00,"the areas affected include... waters from jupiter inlet to deerfield beach fl from 20 to 60 nm... at 250 pm edt, doppler radar indicated showers, capable of producing winds to around 30 knots. these showers were located along a line extending from 39 nm east of palm beach shores to 43 nm east of ocean ridge, moving north at 15 knots.",Severe,1,3,2
NWS-IDP-PROD-4261055-3590227,2020-06-07T15:19:00.000Z,Actual,Update,NWS San Francisco CA,Small Craft Advisory,['Avoid'],Expected,Minor,Likely,Small Craft Advisory issued June 7 at 8:19AM PDT until June 9 at 3:00AM PDT by NWS San Francisco CA,"* WHAT...Northwest winds 20 to 30 kt with gusts up to 35 kt and
seas 8 to 13 feet at 10 seconds. Occasional afternoon and
evening gusts up to 40 kt off of the Big Sur coast.

* WHERE...Coastal Waters from Point Pinos to Point Piedras
Blancas California out to 10 nm.

* WHEN...Until 3 AM PDT Tuesday.

* IMPACTS...Conditions will be hazardous to small craft.","Inexperienced mariners, especially those operating smaller
vessels, should avoid navigating in hazardous conditions.",Coastal Waters from Point Pinos to Point Piedras Blancas California out to 10 nm,2020-06-07,15:19:00,* what...northwest winds 20 to 30 kt with gusts up to 35 kt and seas 8 to 13 feet at 10 seconds. occasional afternoon and evening gusts up to 40 kt off of the big sur coast. * where...coastal waters from point pinos to point piedras blancas california out to 10 nm. * when...until 3 am pdt tuesday. * impacts...conditions will be hazardous to small craft.,Severe,1,3,2
NWS-130404-691359,2014-01-02T05:00:28.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued January 1 at 11:00PM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
WED JAN 01  MODERATE    5  *                                         
THU JAN 02  MODERATE    3  *   M    L    L    L    L    L    L    L  
FRI JAN 03  VERY HIGH  21  *   L    L    L    M    H    H    H    M  
SAT JAN 04  HIGH       10  *   M    L    L    L    M    H    M    M  
SUN JAN 05  LOW         2  *   L    L    L    L    L    L    L    L  
MON JAN 06  MODERATE    4  *   L    M    M    M    M    L    L    L",,Kingman,2014-01-02,05:00:28,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm wed jan 01 moderate 5 * thu jan 02 moderate 3 * m l l l l l l l fri jan 03 very high 21 * l l l m h h h m sat jan 04 high 10 * m l l l m h m m sun jan 05 low 2 * l l l l l l l l mon jan 06 moderate 4 * l m m m m l l l,Severe,2,3,1
NWS-IDP-PROD-4264745-3592939,2020-06-09T05:14:00.000Z,Actual,Alert,NWS Sioux Falls SD,Tornado Warning,['Shelter'],Immediate,Extreme,Observed,Tornado Warning issued June 9 at 12:14AM CDT until June 9 at 12:45AM CDT by NWS Sioux Falls SD,"The National Weather Service in Sioux Falls has issued a

* Tornado Warning for...
Northeastern Kingsbury County in east central South Dakota...

* Until 1245 AM CDT.

* At 1213 AM CDT, a severe thunderstorm capable of producing a
tornado was located near Lake Preston, or 9 miles northeast of Lake
Thompson State Recreation Area, moving northeast at 30 mph.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* This dangerous storm will be near...
Badger around 1230 AM CDT.

Other locations impacted by this tornadic thunderstorm include Erwin.","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.

Tornadoes are extremely difficult to see and confirm at night. Do not
wait to see or hear the tornado. TAKE COVER NOW!","Kingsbury, SD",2020-06-09,05:14:00,"the national weather service in sioux falls has issued a * tornado warning for... northeastern kingsbury county in east central south dakota... * until 1245 am cdt. * at 1213 am cdt, a severe thunderstorm capable of producing a tornado was located near lake preston, or 9 miles northeast of lake thompson state recreation area, moving northeast at 30 mph. hazard...tornado. source...radar indicated rotation. impact...flying debris will be dangerous to those caught without shelter. mobile homes will be damaged or destroyed. damage to roofs, windows, and vehicles will occur. tree damage is likely. * this dangerous storm will be near... badger around 1230 am cdt. other locations impacted by this tornadic thunderstorm include erwin.",Severe,4,3,-1
NWS-130404-690028,2014-01-01T09:41:47.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued January 1 at 3:41AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
WED JAN 01  MODERATE    5  *        L    L    L    L    M    M    M  
THU JAN 02  MODERATE    3  *   M    M    L    L    L    L    L    L  
FRI JAN 03  HIGH        8  *   L    L    L    L    M    H    M    M  
SAT JAN 04  MODERATE    5  *   M    M    L    L    L    L    M    L  
SUN JAN 05  LOW         2  *   L    L    L    L    L    L    L    L  
MON JAN 06  LOW         2  *   L    L    L    L    L    L    L    L",,Woodson,2014-01-01,09:41:47,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm wed jan 01 moderate 5 * l l l l m m m thu jan 02 moderate 3 * m m l l l l l l fri jan 03 high 8 * l l l l m h m m sat jan 04 moderate 5 * m m l l l l m l sun jan 05 low 2 * l l l l l l l l mon jan 06 low 2 * l l l l l l l l,Minor,2,1,-1
NWS-IDP-PROD-4258738-3588555,2020-06-06T20:01:00.000Z,Actual,Alert,NWS Brownsville TX,Small Craft Advisory,['Avoid'],Expected,Minor,Likely,Small Craft Advisory issued June 6 at 3:01PM CDT until June 7 at 2:00PM CDT by NWS Brownsville TX,"* WHAT...Seas 4 to 7 feet expected, occasionally higher.

* WHERE...Coastal waters from Port Mansfield to the Rio Grande
out 20 nm and Coastal waters from Baffin Bay to Port Mansfield
out 20 nm.

* WHEN...From 10 PM this evening to 2 PM CDT Sunday.

* IMPACTS...Conditions will be hazardous to small craft.

* ADDITIONAL DETAILS...Winds will remain sustained at or less than
15 knots and variable, with occasional gusts to 20 knots at
times through the advisory period.","Inexperienced mariners, especially those operating smaller
vessels, should avoid navigating in hazardous conditions.",Coastal waters from Baffin Bay to Port Mansfield TX out 20 NM; Coastal waters from Port Mansfield TX to the Rio Grande River out 20 NM,2020-06-06,20:01:00,"* what...seas 4 to 7 feet expected, occasionally higher. * where...coastal waters from port mansfield to the rio grande out 20 nm and coastal waters from baffin bay to port mansfield out 20 nm. * when...from 10 pm this evening to 2 pm cdt sunday. * impacts...conditions will be hazardous to small craft. * additional details...winds will remain sustained at or less than 15 knots and variable, with occasional gusts to 20 knots at times through the advisory period.",Severe,1,3,2
